State,Apr-21,Apr-22
Himachal Pradesh,764,817
Punjab,"1,924","1,994"
Chandigarh,203,249
Uttarakhand,"1,422","1,887"
Haryana,"6,658","8,197"
Delhi,"5,053","5,871"
Rajasthan,"3,820","4,547"
Uttar Pradesh,"7,355","8,534"
Bihar,"1,508","1,471"
Sikkim,258,264
Arunachal Pradesh,103,196
Nagaland,52,68
Manipur,103,69
Mizoram,57,46
Tripura,110,107
Meghalaya,206,227
Assam,"1,151","1,313"
West Bengal,"5,236","5,644"
Jammu and Kashmir,509,560
Odisha,"3,849","4,910"
Chattisgarh,"2,673","2,977"
Madhya Pradesh,"3,050","3,339"
Gujarat,"9,632","11,264"
Daman and Diu,1,0
Dadra and Nagar Haveli,292,381
Maharashtra,"22,013","27,495"
Karnataka,"9,955","11,820"
Goa,401,470
Lakshadweep,4,3
Kerala,"2,466","2,689"
Tamil Nadu,"8,849","9,724"
Puducherry,169,206
Andaman and Nicobar Islands,61,87
Telangana,"4,262","4,955"
Andhra Pradesh,"3,345","4,067"
Ladakh,31,47
Other Territory,159,216
Jharkhand,"2,956","3,100"
Grand Total,"1,10,804","1,29,978"
Center Jurisdiction,142,167
