State,Aug-20,Aug-21
Himachal Pradesh,597,704
Punjab,"1,139","1,414"
Chandigarh,139,144
Uttarakhand,"1,006","1,089"
Haryana,"4,373","5,618"
Delhi,"2,880","3,605"
Rajasthan,"2,582","3,049"
Uttar Pradesh,"5,098","5,946"
Bihar,967,"1,037"
Sikkim,147,219
Arunachal Pradesh,35,53
Nagaland,31,32
Manipur,26,45
Mizoram,12,16
Tripura,43,56
Meghalaya,108,119
Assam,709,959
West Bengal,"3,053","3,678"
Jammu and Kashmir,326,392
Odisha,"2,348","3,317"
Chattisgarh,"1,994","2,391"
Madhya Pradesh,"2,209","2,438"
Gujarat,"6,030","7,556"
Daman and Diu,70,1
Dadra and Nagar Haveli,145,254
Maharashtra,"11,602","15,175"
Karnataka,"5,502","7,429"
Goa,213,285
Lakshadweep,0,1
Kerala,"1,229","1,612"
Tamil Nadu,"5,243","7,060"
Puducherry,137,156
Andaman and Nicobar Islands,13,20
Telangana,"2,793","3,526"
Andhra Pradesh,"1,955","2,591"
Ladakh,5,14
Other Territory,180,109
Jharkhand,"1,498","2,166"
Grand Total,"66,598","84,490"
Center Jurisdiction,161,214
