State,Feb-21,Feb-22
Jammu and Kashmir,330,326
Himachal Pradesh,663,657
Punjab,"1,299","1,480"
Chandigarh,149,178
Uttarakhand,"1,181","1,176"
Delhi,"3,727","3,922"
Rajasthan,"3,224","3,469"
Uttar Pradesh,"5,997","6,519"
Bihar,"1,128","1,206"
Sikkim,222,222
Arunachal Pradesh,61,56
Nagaland,35,33
Manipur,32,39
Mizoram,21,24
Tripura,63,66
Meghalaya,147,201
Assam,946,"1,008"
West Bengal,"4,335","4,414"
Jharkhand,"2,321","2,536"
Odisha,"3,341","4,101"
Chhattisgarh,"2,453","2,783"
Madhya Pradesh,"2,792","2,853"
Gujarat,"8,221","8,873"
Haryana,"5,590","5,928"
Dadra and Nagar Haveli,235,260
Maharashtra,"16,104","19,423"
Karnataka,"7,581","9,176"
Goa,344,364
Lakshadweep,0,1
Kerala,"1,806","2,074"
Tamil Nadu,"7,008","7,393"
Puducherry,158,178
Andaman and Nicobar Islands,23,22
Telangana,"3,636","4,113"
Andhra Pradesh,"2,653","3,157"
Ladakh,9,16
Other Territory,134,136
Center Jurisdiction,129,167
Grand Total,"88,102","98,550"
Daman and Diu,3,0
