State,Jun-21,Jun-22
Jammu and Kashmir,300,372
Himachal Pradesh,519,693
Punjab,"1,111","1,683"
Uttarakhand,702,"1,281"
Haryana,"3,801","6,714"
Delhi,"2,656","4,313"
Rajasthan,"2,176","3,386"
Uttar Pradesh,"4,588","6,835"
Bihar,889,"1,232"
Sikkim,212,256
Arunachal Pradesh,33,59
Nagaland,30,34
Manipur,22,39
Mizoram,17,26
Tripura,43,63
Meghalaya,105,153
Assam,662,972
West Bengal,"2,744","4,331"
Jharkhand,"2,032","2,315"
Odisha,"3,000","3,965"
Chhattisgarh,"2,230","2,774"
Chandigarh,120,170
Gujarat,"6,128","9,207"
Daman and Diu,0,0
Dadra and Nagar Haveli,243,350
Maharashtra,"13,722","22,341"
Karnataka,"5,103","8,845"
Goa,256,429
Lakshadweep,0,1
Kerala,998,"2,161"
Tamil Nadu,"4,380","8,027"
Puducherry,104,182
Andaman and Nicobar Islands,12,22
Telangana,"2,845","3,901"
Andhra Pradesh,"2,051","2,987"
Ladakh,6,13
Other Territory,127,205
Centre Jurisdiction,164,143
Grand Total,"66,229","1,03,317"
Madhya Pradesh,"2,098","2,837"
